,anime_id,name,genre,type,episodes,rating,members
774,30868,Ajin Part 1 Shoudou,"Action, Horror, Mystery, Seinen, Supernatural",Movie,1,7.84,22279
777,978,Change Getter Robo Sekai Saigo No Hi,"Action, Adventure, Horror, Mecha, Psychological, Sci-Fi, Shounen",OVA,13,7.84,5606
784,13667,Naruto Shippuuden Movie 6  Road To Ninja,"Action, Adventure, Martial Arts, Shounen, Super Power",Movie,1,7.84,87369
779,14735,Detective Conan Movie 17 Private Eye In The Distant Sea,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,7.84,12963
787,20847,Seitokai Yakuindomo,"Comedy, School, Shounen, Slice of Life",TV,13,7.84,98544
785,28927,Owari No Seraph Nagoya Kessenhen,"Action, Drama, Shounen, Supernatural, Vampire",TV,12,7.84,190058
791,30413,Yowamushi Pedal Movie,"Comedy, Drama, Shounen, Sports",Movie,1,7.84,8838
790,12883,Tsuritama,"Comedy, Sci-Fi, Slice of Life, Sports",TV,12,7.84,90625
788,2451,Space Cobra,"Action, Adventure, Sci-Fi, Space",TV,31,7.84,6919
789,8937,Toaru Majutsu No Index Ii,"Action, Magic, Sci-Fi, Super Power",TV,24,7.84,184520
778,2994,Death Note Rewrite,"Mystery, Police, Psychological, Supernatural, Thriller",Special,2,7.84,88699
780,10350,Hakuouki Sekkaroku,"Action, Demons, Drama, Fantasy, Historical, Josei",OVA,6,7.84,14725
781,20431,Hoozuki No Reitetsu,"Comedy, Fantasy, Supernatural",TV,13,7.84,47619
782,15487,Kuroko No Basket Ngshuu,"Comedy, School, Shounen, Sports",Special,9,7.84,32215
8336,9383,Chiechan Funsenki Jarinko Chie,"Comedy, Drama, Slice of Life",TV,39,7.83,147
802,290,Seikai No Monshou,"Action, Military, Romance, Sci-Fi, Space",TV,13,7.83,26379
800,14407,Persona 3 The Movie 1 Spring Of Birth,"Action, Fantasy, Seinen, Supernatural",Movie,1,7.83,45568
801,1719,Rozen Maiden Ouvertre,"Action, Comedy, Drama, Magic, Seinen",Special,2,7.83,44388
795,8086,Densetsu No Yuusha No Densetsu,"Action, Adventure, Fantasy, Magic, Shounen",TV,24,7.83,130689
11115,29575,Mankitsu Happening,Hentai,OVA,4,7.83,8510
798,33082,Kingsglaive Final Fantasy Xv,Action,Movie,1,7.83,15508
793,6347,Baka To Test To Shoukanjuu,"Comedy, Romance, School, Super Power",TV,13,7.83,301282
799,1096,Mobile Police Patlabor 2 The Movie,"Drama, Mecha, Mystery, Police, Sci-Fi",Movie,1,7.83,11957
794,3841,Chis Sweet Home,"Comedy, Slice of Life",TV,104,7.83,36307
796,9982,Fairy Tail Ova,"Comedy, Ecchi, Fantasy, Magic, Shounen",OVA,5,7.83,83421
806,31733,Bishoujo Senshi Sailor Moon Crystal Season Iii,"Demons, Magic, Romance, Shoujo",TV,13,7.83,16530
804,11757,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25,7.83,893100
805,5074,Tetsuwan Birdy Decode02,"Action, Comedy, Sci-Fi",TV,12,7.83,29622
803,154,Shaman King,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,64,7.83,169517
797,1888,Ichigo Mashimaro Ova,"Comedy, School, Slice of Life",OVA,3,7.83,15085
808,4177,Bounen No Xamdou,"Action, Military, Sci-Fi",ONA,26,7.82,79026
807,1690,Bokurano,"Drama, Mecha, Psychological, Sci-Fi",TV,24,7.82,81408
809,10092,Break Blade 6 Doukoku No Toride,"Action, Mecha, Military, Shounen",Movie,1,7.82,39077
815,21659,Kill La Kill Special,"Action, Comedy, School, Super Power",Special,1,7.82,83795
818,1211,Macross Plus Movie Edition,"Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",Movie,1,7.82,8405
817,474,Macross Plus,"Drama, Mecha, Military, Romance, Sci-Fi, Space",OVA,4,7.82,23138
816,3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo Tv,"Comedy, Police, Slice of Life",TV,373,7.82,4734
810,9785,Detective Conan Conan Vs Kid  Shark Amp Jewel,"Adventure, Comedy, Kids, Mystery, Police, Shounen",Movie,1,7.82,2688
812,18055,Hakkenden Touhou Hakken Ibun 2Nd Season,"Action, Fantasy, Shoujo, Supernatural",TV,13,7.82,33466
811,985,Dragon Ball Z Special 2 Zetsubou E No Hankou Nokosareta Chousenshi  Gohan To Trunks,"Adventure, Drama, Fantasy, Shounen",Special,1,7.82,43673
825,9441,Yumeiro Ptissire Sp Professional,"Shoujo, Slice of Life",TV,13,7.82,20397
820,5751,Prince Of Tennis Another Story  Messages From Past And Future,"Comedy, School, Shounen, Sports",OVA,4,7.82,9487
821,3515,Saint Seiya Meiou Hades Elysionhen,"Action, Fantasy, Shounen, Super Power",OVA,6,7.82,19044
819,9510,Mitsudomoe Zouryouchuu,"Comedy, School, Slice of Life",TV,8,7.82,26468
837,33263,Kubikiri Cycle Aoiro Savant To Zaregototsukai,"Action, Drama, Mystery, Supernatural",OVA,8,7.82,19317
822,13663,To Loveru Darkness,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,7.82,135929
823,13851,To Loveru Darkness Ova,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,6,7.82,57166
814,27991,K Return Of Kings,"Action, Super Power, Supernatural",TV,13,7.82,114904
813,6984,Hidamari Sketch X 365 Specials,"Comedy, School, Slice of Life",Special,3,7.82,10720
830,10793,Guilty Crown,"Action, Drama, Sci-Fi, Super Power",TV,22,7.81,460959
829,71,Full Metal Panic,"Action, Comedy, Mecha, Military, Sci-Fi",TV,24,7.81,256325
828,345,Eikoku Koi Monogatari Emma,"Drama, Historical, Romance, Seinen, Slice of Life",TV,12,7.81,23877
826,233,Daa Daa Daa,"Comedy, Sci-Fi, Shoujo",TV,78,7.81,12673
827,2397,Digimon Adventure Bokura No War Game,"Adventure, Comedy, Kids, Sci-Fi",Movie,1,7.81,37078
851,30364,Haikyuu Movie 2 Shousha To Haisha,"Comedy, Drama, School, Shounen, Sports",Movie,1,7.81,10558
833,3713,Jigoku Shoujo Mitsuganae,"Mystery, Psychological, Supernatural",TV,26,7.81,58993
831,9760,Hoshi Wo Ou Kodomo,"Adventure, Fantasy, Romance",Movie,1,7.81,76286
841,20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220,7.81,683297
838,13203,Lupin The Third Mine Fujiko To Iu Onna,"Action, Adventure, Comedy, Ecchi, Samurai, Seinen",TV,13,7.81,22796
840,87,Mobile Suit Gundam Chars Counterattack,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.81,19258
835,2454,Kimagure Orangeroad Ano Hi Ni Kaeritai,"Comedy, Drama, Romance, Shounen, Slice of Life",Movie,1,7.81,4368
836,32380,Kono Subarashii Sekai Ni Shukufuku Wo Ova,"Comedy, Fantasy",OVA,1,7.81,46823
839,2963,Minamike,"Comedy, School, Slice of Life",TV,13,7.81,105471
834,2593,Kara No Kyoukai 1 Fukan Fuukei,"Action, Mystery, Supernatural, Thriller",Movie,1,7.81,178880
843,28069,Shigatsu Wa Kimi No Uso Moments,"Music, Shounen",OVA,1,7.81,41368
842,31953,New Game,"Comedy, Slice of Life",TV,12,7.81,91932
832,160,Ima Soko Ni Iru Boku,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13,7.81,56839
844,1002,Top Wo Nerae 2 Diebuster,"Action, Comedy, Mecha, Sci-Fi, Space",OVA,6,7.81,38691
858,28979,To Loveru Darkness 2Nd,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,7.8,73909
859,16011,Tokyo Ravens,"Comedy, School, Shounen, Super Power, Supernatural",TV,24,7.8,171384
10059,17721,Rennyo Monogatari,"Drama, Historical",Movie,1,7.8,129
857,21867,The Disappearance Of Conan Edogawa The Worst Two Days In History,"Adventure, Comedy, Mystery, Police, Shounen",Special,1,7.8,3735
853,33209,Huyao Xiao Hongniang Wangquan Fugui,"Comedy, Romance, Supernatural",ONA,14,7.8,1119
856,182,Tenkuu No Escaflowne,"Adventure, Fantasy, Mecha, Romance, Shoujo",TV,26,7.8,83437
854,2547,Shoukoujo Sara,"Drama, Historical, Shoujo, Slice of Life",TV,46,7.8,7515
855,22101,Soredemo Sekai Wa Utsukushii,"Adventure, Fantasy, Romance, Shoujo",TV,12,7.8,99462
850,74,Gakuen Alice,"Comedy, Magic, School, Shoujo",TV,26,7.8,52995
845,9471,Baka To Test To Shoukanjuu Matsuri,"Comedy, School, Super Power",OVA,2,7.8,67684
847,60,Chrno Crusade,"Action, Demons, Historical, Romance, Supernatural",TV,24,7.8,140865
846,150,Blood,"Action, Drama, Horror, Military, Mystery, Supernatural, Vampire",TV,50,7.8,208321
849,120,Fruits Basket,"Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life",TV,26,7.8,242553
852,8426,Hourou Musuko,"Drama, School, Slice of Life",TV,11,7.8,53426
848,19671,Free Frfr  Short Movie,"Comedy, Sports",Special,7,7.8,35956
867,6927,Higashi No Eden Soushuuhen Air Communication,"Comedy, Mystery, Romance",Movie,1,7.79,20059
871,30952,New Initial D Movie Legend 3  Mugen,"Cars, Seinen, Sports",Movie,1,7.79,3479
881,10717,Towa No Quon 6 Towa No Quon,"Action, Super Power, Supernatural",Movie,1,7.79,18624
873,8795,Panty Amp Stocking With Garterbelt,"Action, Comedy, Ecchi, Parody, Supernatural",TV,13,7.79,157642
872,24135,Nobunaga Concerto,"Historical, Romance, Shounen",TV,10,7.79,25167
879,6046,Tales Of Vesperia The First Strike,"Action, Adventure, Fantasy, Magic, Military",Movie,1,7.79,30524
862,477,Aria The Animation,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,7.79,76913
877,18119,Servant X Service,"Comedy, Slice of Life",TV,13,7.79,81037
876,1011,Ranma  Super,"Adventure, Comedy, Martial Arts, Romance, Shounen, Supernatural",OVA,3,7.79,9936
878,2787,Shakugan No Shana Ii Second,"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24,7.79,184525
870,228,Jigoku Shoujo,"Horror, Mystery, Psychological, Supernatural",TV,26,7.79,172415
874,12021,Poyopoyo Kansatsu Nikki,"Comedy, Seinen, Slice of Life",TV,52,7.79,13832
875,17249,Pretty Rhythm Rainbow Live,"Music, Shoujo, Slice of Life, Sports",TV,51,7.79,4838
868,4811,Ichigo Mashimaro Encore,"Comedy, Slice of Life",OVA,2,7.79,12790
865,5177,Denpateki Na Kanojo,"Mystery, School, Thriller",OVA,2,7.79,85409
864,2450,Crayon Shinchan Movie 09 Arashi Wo Yobu Mouretsu Otona Teikoku No Gyakushuu,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Movie,1,7.79,2688
866,2229,Dragon Quest Dai No Daibouken,"Adventure, Comedy, Demons, Fantasy, Magic, Martial Arts, Shounen",TV,46,7.79,8999
860,22819,Aikatsu Movie,"Music, School, Shoujo, Slice of Life",Movie,1,7.79,2813
861,9062,Angel Beats Specials,"Action, Comedy, School, Supernatural",Special,2,7.79,139013
863,6772,Break Blade 1 Kakusei No Toki,"Action, Fantasy, Mecha, Military, Shounen",Movie,1,7.79,58184
880,9000,Toaru Hikuushi E No Tsuioku,"Adventure, Military, Romance",Movie,1,7.79,28857
869,13403,Inu X Boku Ss Special,"Comedy, Shounen, Supernatural",Special,1,7.79,46803
904,3470,Special A,"Comedy, Romance, School, Shoujo",TV,24,7.78,173603
892,1418,Lupin Iii Episode 0 Quotfirst Contactquot,"Action, Adventure, Comedy, Mystery, Shounen",Special,1,7.78,4499
906,26,Texhnolyze,"Action, Drama, Psychological, Sci-Fi",TV,22,7.78,95859
908,856,Utawarerumono,"Action, Drama, Fantasy, Sci-Fi",TV,26,7.78,91034
893,14511,Minamike Tadaima,"Comedy, School, Slice of Life",TV,13,7.78,31394
907,1293,Urusei Yatsura,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",TV,195,7.78,23020
891,23385,Kyoukai No Kanata Shinonome,"Fantasy, Slice of Life, Supernatural",Special,1,7.78,42344
894,10389,Momo E No Tegami,"Drama, Supernatural",Movie,1,7.78,30519
895,7592,Nurarihyon No Mago,"Action, Demons, Shounen, Supernatural",TV,24,7.78,122976
890,10790,Kore Wa Zombie Desu Ka Of The Dead,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV,10,7.78,180032
901,1008,Ranma  Specials,"Comedy, Drama, Romance, Shounen",OVA,2,7.78,11084
897,32729,Orange,"Drama, Romance, School, Sci-Fi, Shoujo",TV,13,7.78,165358
896,31289,One Piece Episode Of Sabo  3 Kyoudai No Kizuna Kiseki No Saikai To Uketsugareru Ishi,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,7.78,11922
882,31580,Ajin,"Action, Horror, Mystery, Seinen, Supernatural",TV,13,7.78,160972
888,6637,Higashi No Eden Movie Ii Paradise Lost,"Action, Comedy, Drama, Mystery, Romance, Thriller",Movie,1,7.78,87062
887,4725,Garei Zero,"Action, Super Power, Supernatural, Thriller",TV,12,7.78,145102
884,531,Bishoujo Senshi Sailor Moon R The Movie,"Drama, Magic, Romance, Shoujo",Movie,1,7.78,33682
885,4596,Code Geass Hangyaku No Lelouch Special Edition Black Rebellion,"Action, Mecha, Military, School, Super Power",OVA,1,7.78,23285
886,1015,Full Metal Panic The Second Raid Wari To Hima Na Sentaichou No Ichinichi,Comedy,Special,1,7.78,51688
889,255,Jungle Wa Itsumo Hare Nochi Guu Final,"Comedy, Slice of Life",OVA,7,7.78,7576
905,540,Tenchi Muyou Ryououki 2Nd Season,"Action, Comedy, Harem, Sci-Fi, Shounen, Space",OVA,6,7.78,15837
899,208,Rod Ova,"Action, Adventure, Historical, Magic, Mystery, Sci-Fi",OVA,3,7.78,41701
898,2112,Over Drive,"Shounen, Sports",TV,26,7.78,28007
903,2499,Slam Dunk Hoero Basketmandamashii Hanamichi To Rukawa No Atsuki Natsu,"Comedy, Drama, School, Shounen, Slice of Life, Sports",Movie,1,7.78,7856
900,30296,Rakudai Kishi No Cavalry,"Action, Ecchi, Fantasy, Romance, School",TV,12,7.78,188685
902,65,Rozen Maiden Trumend,"Action, Comedy, Drama, Magic, Seinen",TV,12,7.78,72645
919,9745,Sengoku Basara Movie The Last Party,"Action, Historical, Martial Arts, Samurai, Super Power",Movie,1,7.77,18267
916,7270,Mobile Suit Gundam 00 Special Edition,"Action, Drama, Mecha, Military, Sci-Fi",OVA,3,7.77,7087
918,464,One Piece Movie 6 Omatsuri Danshaku To Himitsu No Shima,"Adventure, Comedy, Fantasy, Shounen",Movie,1,7.77,37792
912,123,Fushigi Yuugi,"Adventure, Comedy, Drama, Fantasy, Historical, Magic, Martial Arts, Romance, Shoujo",TV,52,7.77,61622
913,488,Ichigo Mashimaro,"Comedy, Slice of Life",TV,12,7.77,46333
911,32108,Digimon Adventure Tri 2 Ketsui,"Action, Adventure, Comedy, Drama",Movie,1,7.77,30684
920,21843,Shingeki No Bahamut Genesis,"Action, Adventure, Demons, Fantasy, Magic, Supernatural",TV,12,7.77,143701
928,28479,Detective Conan Movie 19 The Hellfire Sunflowers,"Action, Mystery, Police, Shounen",Movie,1,7.77,8600
909,9201,Air Gear Kuro No Hane To Nemuri No Mori  Break On The Sky,"Action, Comedy, Ecchi, Shounen, Sports",OVA,3,7.77,40176
921,539,Tenchi Muyou Ryououki,"Action, Comedy, Sci-Fi, Shounen, Space",OVA,6,7.77,25902
917,1376,Ojamajo Doremi Naisho,"Comedy, Fantasy, Magic, Shoujo",OVA,13,7.77,3620
914,3603,Jojo No Kimyou Na Bouken Phantom Blood,"Action, Adventure, Horror, Shounen, Vampire",Movie,1,7.77,8534
910,2214,Black Jack 21,"Action, Drama",TV,17,7.77,6063
9275,33454,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Final  Ryoutsu Kakichi Saigo No Hi,"Comedy, Police, Shounen, Slice of Life",Special,1,7.77,268
883,31483,Akagami No Shirayukihime Nandemonai Takaramono Kono Page,"Drama, Fantasy, Romance, Shoujo",OVA,1,7.77,20749
9818,16530,Ojamanga Yamadakun,"Comedy, Slice of Life",TV,103,7.77,250
915,32268,Koyomimonogatari,"Comedy, Mystery, Supernatural",ONA,12,7.77,45632
923,11319,Zero No Tsukaima F,"Adventure, Ecchi, Fantasy, Magic, Romance",TV,12,7.77,174026
922,14227,Tonari No Kaibutsukun,"Comedy, Romance, School, Shoujo, Slice of Life",TV,13,7.77,349836
940,10161,No6,"Action, Sci-Fi",TV,11,7.76,168017
941,462,One Piece Movie 4 Dead End No Bouken,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,1,7.76,39946
945,95,Turn A Gundam,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",TV,50,7.76,20056
927,31478,Bungou Stray Dogs,"Action, Comedy, Mystery, Seinen, Supernatural",TV,12,7.76,187805
924,24151,Ao Haru Ride Ova,"Romance, School, Shoujo, Slice of Life",OVA,2,7.76,46864
925,997,Bishoujo Senshi Sailor Moon S Kaguya Hime No Koibito,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,7.76,29394
926,24913,Bokura Wa Minna Kawaisou Hajimete No,"Comedy, Romance, School, Slice of Life",Special,1,7.76,20622
938,2985,Majin Tantei Nougami Neuro,"Comedy, Demons, Mystery, Shounen, Supernatural",TV,25,7.76,42730
939,1483,Master Keaton,"Adventure, Mystery",TV,24,7.76,9610
942,5507,Senjou No Valkyria,"Action, Military, Romance",TV,26,7.76,77591
932,18619,Girls Und Panzer Kore Ga Hontou No Anziosen Desu,"Military, School",OVA,1,7.76,16143
931,1301,Ginga Tetsudou 999 Movie,"Adventure, Drama, Fantasy, Sci-Fi, Space",Movie,1,7.76,7237
943,6444,Tegamibachi,"Adventure, Fantasy, Shounen, Supernatural",TV,25,7.76,70987
944,10715,Towa No Quon 4 Guren No Shoushin,"Action, Super Power, Supernatural",Movie,1,7.76,18545
936,1412,Lupin Iii,"Action, Adventure, Comedy, Shounen",TV,23,7.76,34373
935,3731,Itazura Na Kiss,"Comedy, Romance, Shoujo",TV,25,7.76,136279
937,20785,Mahouka Koukou No Rettousei,"Magic, Romance, School, Sci-Fi, Supernatural",TV,26,7.76,285317
929,2471,Doraemon 1979,"Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen",TV,1787,7.76,14233
933,9065,Hakuouki Hekketsuroku,"Action, Drama, Historical, Josei, Samurai, Supernatural",TV,10,7.76,49771
934,5060,Hetalia Axis Powers,"Comedy, Historical, Parody",ONA,52,7.76,144898
930,240,Genshiken,"Comedy, Parody, Slice of Life",TV,12,7.76,104258
957,19669,Kuroko No Basket Baka Ja Katenai No Yo,"Comedy, School, Shounen, Sports",OVA,1,7.75,26785
958,25015,Kyoukai No Kanata Movie Ill Be Here  Kakohen,"Action, Fantasy, Supernatural",Movie,1,7.75,42304
948,7471,Detective Conan Movie 09 Promo Special,"Adventure, Comedy, Mystery, Police, Shounen",Special,1,7.75,4172
947,20031,Dfrag,"Comedy, Game, School, Seinen",TV,12,7.75,154548
946,8247,Bleach Movie 4 Jigokuhen,"Action, Comedy, Shounen, Super Power, Supernatural",Movie,1,7.75,94074
9355,28109,Kuzuryuugawa To Shounen,"Drama, Historical",OVA,1,7.75,61
11117,21097,Oni Chichi Rebuild,Hentai,OVA,3,7.75,9825
962,10278,The Idolmster,"Comedy, Drama, Music",TV,25,7.75,81155
10506,26239,Tenki Ni Naare,"Drama, Historical, Kids, Space",OVA,1,7.75,47
966,4416,Yuushaou Gaogaigar Final Grand Glorious Gathering,"Action, Mecha, Sci-Fi, Super Power",TV,12,7.75,1780
965,24405,World Trigger,"Action, School, Sci-Fi, Shounen, Supernatural",TV,73,7.75,106872
964,1830,Utawarerumono Specials,"Action, Comedy, Drama, Fantasy",Special,6,7.75,11149
963,2557,Trapp Ikka Monogatari,"Drama, Historical, Music, Romance",TV,40,7.75,2839
9576,31001,Mirai Kara No Message,"Drama, Kids",OVA,1,7.75,38
953,32491,Kanojo To Kanojo No Neko Everything Flows,"Psychological, Romance, Slice of Life",TV,4,7.75,38765
952,450,Inuyasha Kagami No Naka No Mugenjo,"Adventure, Demons, Drama, Fantasy, Historical, Romance, Shounen, Supernatural",Movie,1,7.75,54854
949,986,Dragon Ball Z Special 1 Tatta Hitori No Saishuu Kessen,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Special,1,7.75,46276
959,331,Mahoujin Guru Guru,"Adventure, Comedy, Fantasy, Magic, Shounen",TV,45,7.75,3725
960,33338,One Piece Heart Of Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Special,1,7.75,17443
961,23777,Shingeki No Kyojin Movie 2 Jiyuu No Tsubasa,"Action, Drama, Fantasy, Shounen, Super Power",Movie,1,7.75,26958
11116,15843,Koiito Kinenbi The Animation,Hentai,OVA,2,7.75,6940
9161,14039,Katayoku No Khronos Gear,"Action, Sci-Fi",OVA,1,7.75,542
954,6624,Kara No Kyoukai Remix Gate Of Seventh Heaven,"Action, Mystery, Romance, Super Power, Thriller",Movie,1,7.75,24735
956,15439,Kono Danshi Ningyo Hiroimashita,"Fantasy, Shounen Ai",OVA,1,7.75,14775
10563,26149,Tobiuo No Boy Wa Byouki Desu,"Fantasy, Historical, Kids",Movie,1,7.75,41
955,3466,Kino No Tabi The Beautiful World  Tou No Kuni,"Adventure, Fantasy, Psychological",Special,1,7.75,19211
967,740,Bishoujo Senshi Sailor Moon R,"Demons, Magic, Romance, Shoujo",TV,43,7.74,73305
950,28669,Go Princess Precure,"Action, Comedy, Fantasy, Magic, School, Shoujo, Slice of Life",TV,50,7.74,5098
968,2213,Black Jack Tv,Drama,TV,61,7.74,15552
969,371,Cardcaptor Sakura Movie 1,"Comedy, Drama, Fantasy, Magic, Shoujo",Movie,1,7.74,56327
972,1813,Genshiken Ova,"Comedy, Parody, Slice of Life",OVA,3,7.74,35493
990,11531,Ungo Ingaron,"Mystery, Supernatural",Movie,1,7.74,23340
989,10033,Toriko,"Action, Adventure, Comedy, Fantasy, Shounen",TV,147,7.74,54790
971,430,Fullmetal Alchemist The Conqueror Of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",Movie,1,7.74,186465
970,7303,Detective Conan Black History,"Adventure, Comedy, Mystery, Police, Shounen",Special,1,7.74,3603
975,6372,Higashi No Eden Movie I The King Of Eden,"Comedy, Drama, Mystery, Romance, Slice of Life, Thriller",Movie,1,7.74,101734
983,584,Noein Mou Hitori No Kimi E,"Adventure, Drama, Sci-Fi, Slice of Life",TV,24,7.74,56244
984,24543,Persona 3 The Movie 3 Falling Down,"Action, Fantasy, Seinen, Supernatural",Movie,1,7.74,19928
985,6634,Sengoku Basara Two,"Action, Historical, Martial Arts, Samurai, Super Power",TV,12,7.74,42798
981,323,Mousou Dairinin,"Drama, Mystery, Police, Psychological, Supernatural, Thriller",TV,13,7.74,137687
982,2313,Muumindani No Suisei,"Adventure, Comedy, Fantasy, Kids",Movie,1,7.74,4344
988,1279,Taiyou No Ko Esteban,"Adventure, Historical, Sci-Fi",TV,39,7.74,5424
987,30549,Soukyuu No Fafner Dead Aggressor  Exodus 2Nd Season,"Action, Drama, Mecha, Military, Sci-Fi",TV,13,7.74,6787
986,355,Shakugan No Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24,7.74,297058
979,23441,Love Stage Ova,"Comedy, Romance, Shounen Ai",OVA,1,7.74,23631
980,1915,Mahou Shoujo Lyrical Nanoha Strikers,"Action, Comedy, Drama, Magic, Super Power",TV,26,7.74,35442
974,9288,Heartcatch Precure Movie Hana No Miyako De Fashion Show Desu Ka,"Fantasy, Kids, Magic, Shoujo",Movie,1,7.74,3309
973,16528,Hal,"Romance, Sci-Fi, Shoujo",Movie,1,7.74,50812
977,3931,Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",OVA,1,7.74,11015
978,24439,Kekkai Sensen,"Action, Fantasy, Shounen, Super Power, Supernatural, Vampire",TV,12,7.74,220573
976,17,Hungry Heart Wild Striker,"Comedy, Shounen, Slice of Life, Sports",TV,52,7.74,13469
11118,2238,Fuyu No Semi,"Drama, Historical, Romance, Samurai, Yaoi",OVA,3,7.74,12270
994,32979,Flip Flappers,"Comedy, Sci-Fi",TV,13,7.73,40945
1006,1840,Zero No Tsukaima Futatsuki No Kishi,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,12,7.73,235684
996,14467,K,"Action, Super Power, Supernatural",TV,13,7.73,297051
991,966,Crayon Shinchan,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",TV,Unknown,7.73,26267
998,1606,Kekkaishi,"Adventure, Comedy, Fantasy, Shounen",TV,52,7.73,61884
1001,7627,Mitsudomoe,"Comedy, School, Slice of Life",TV,13,7.73,56483
1000,2227,Lady Lady,"Drama, Historical",TV,21,7.73,2681
999,9136,Kuroshitsuji Ii Specials,"Comedy, Fantasy, Parody, Shounen, Supernatural",Special,6,7.73,60899
997,8532,Katekyo Hitman Reborn Special,"Comedy, Shounen",ONA,1,7.73,19991
993,10534,Doraemon Movie 31 Shin Nobita To Tetsujin Heidan  Habatake Tenshitachi,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.73,1317
1003,6773,Shakugan No Shana Iii Final,"Action, Drama, Fantasy, Romance, Supernatural",TV,24,7.73,133010
1004,1650,Uchuu Senkan Yamato,"Action, Adventure, Drama, Military, Sci-Fi, Space",TV,26,7.73,10688
1002,32485,Prison School Ova,"Comedy, Ecchi, Romance, School, Seinen",OVA,1,7.73,30887
1005,2558,Wakakusa Monogatari Nan To Josensei,"Drama, Historical, School, Slice of Life",TV,40,7.73,2577
995,132,Getbackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,7.73,73536
1019,32668,Noblesse Awakening,"Action, School, Supernatural, Vampire",ONA,1,7.72,28864
1017,709,Mujin Wakusei Survive,"Action, Adventure, Fantasy, Sci-Fi, Slice of Life",TV,52,7.72,11684
1015,12487,Kyoukaisenjou No Horizon Ii,"Action, Fantasy, Sci-Fi",TV,13,7.72,46781
1009,905,Dragon Ball Z Movie 12 Fukkatsu No Fusion Gokuu To Vegeta,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,7.72,56994
1023,10716,Towa No Quon 5 Souzetsu No Raifuku,"Action, Super Power, Supernatural",Movie,1,7.72,18060
1020,1034,Ouritsu Uchuugun Honneamise No Tsubasa,"Action, Drama, Military, Sci-Fi, Space",Movie,1,7.72,18469
1018,21755,New Prince Of Tennis Ova Vs Genius10,"Action, Comedy, Shounen, Sports",OVA,10,7.72,6238
1024,1924,Urusei Yatsura Movie 5 Final,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Movie,1,7.72,2783
1022,23701,Toradora Ova,"Comedy, Romance, School, Slice of Life",OVA,1,7.72,25154
1021,33157,Tanakakun Wa Itsumo Kedaruge Specials,"Comedy, School, Slice of Life",Special,Unknown,7.72,5400
1008,2724,Daicon Opening Animations,"Action, Adventure, Mecha, Music, Sci-Fi",Special,2,7.72,7174
1010,32915,Durararax2 Ketsu Dufufufu,"Action, Mystery, Supernatural",Special,1,7.72,13126
1007,33513,Ansatsu Kyoushitsu 365Nichi No Jikan,"Action, Comedy, School, Shounen",Movie,1,7.72,14896
1025,33350,Zhen Hun Jie,"Action, Supernatural",ONA,24,7.72,2480
1016,324,Mobile Police Patlabor On Television,"Comedy, Mecha, Police, Sci-Fi",TV,47,7.72,16130
1012,10471,Ie Naki Ko Remi Specials,"Adventure, Drama",Special,3,7.72,781
1013,5231,Inazuma Eleven,"Shounen, Sports, Super Power",TV,127,7.72,42677
